NORM_Abundance BR1 126 control,NORM_Abundance BR2 126 control,NORM_Abundance BR3 126 control,NORM_Abundance BR1 127C Sample,NORM_Abundance BR1 127N Sample,NORM_Abundance BR1 128C Sample,NORM_Abundance BR1 128N Sample,NORM_Abundance BR2 127C Sample,NORM_Abundance BR2 127N Sample,NORM_Abundance BR2 128C Sample,NORM_Abundance BR2 128N Sample,NORM_Abundance BR3 127C Sample,NORM_Abundance BR3 127N Sample,NORM_Abundance BR3 128C Sample,NORM_Abundance BR3 128N Sample,_GENE_SYMBOL_
21868.10835,23951.1002,12959.11845,13591.5,18846.77284,13873.21779,19715.02741,9329.857167,11753.52532,9178.388631,11572.74761,16477.06726,21326.50993,16768.96902,22010.69915,RRBP1
11462.75349,11775.02279,10946.65052,11798.1,11226.36707,11605.33484,11260.27283,12124.48005,10642.39422,11529.87705,11289.77166,12436.1132,11655.98431,12123.68629,12134.30489,MYH9
9907.720789,8787.879771,10927.29609,13461.3,10628.79209,13808.25361,11012.77603,12712.40044,10704.21709,13446.1441,10520.20292,12232.48387,9598.257492,12851.94177,9843.559388,PKM
7853.873953,8166.411994,8827.97883,7839.3,7600.829501,7643.652407,7511.997313,9679.16615,8608.910748,9354.847753,9189.976214,8731.628889,7824.448174,8181.522803,8109.374329,HSP90AA1
12947.51323,16475.91872,17773.80355,12932.5,12823.14227,13050.6713,13175.19469,17986.46771,17234.52487,17931.30502,19172.84446,16147.71684,15725.19028,15632.75783,16827.17327,HSP90AB1
22000.2168,17924.75864,16922.3068,21355.9,21244.86584,20146.22589,21685.79349,16392.90594,16346.19035,15430.29584,15992.43646,18088.70805,17542.79251,16745.00938,17160.27934,HSPA5
0,175.1253272,164.4635479,0,0,0,0,198.817672,161.3811108,166.7613111,130.6004445,231.8639883,175.7116953,191.9445502,147.5237304,ACTG1
20051.6909,19391.4912,26693.44576,22230.2,18660.79828,22574.68698,21555.92598,29926.47697,25498.47013,29870.28605,27132.27981,22600.10493,18974.94838,22590.52048,20402.76978,ENO1
14758.79739,16660.63932,20934.37245,18758.2,15687.69912,18818.82441,15971.14814,25374.28473,22940.05245,26881.30762,23165.27258,20374.58279,18285.30821,21054.10837,18745.07505,ACTB
6985.344969,5801.66383,5075.233088,9402.1,7116.41035,8761.636017,7379.397009,6029.09116,5192.611658,5721.554929,5668.458835,5923.696123,5524.092912,6029.861298,5868.160982,FLNB
8300.234128,10400.81277,7582.172367,8107.4,7782.190545,7404.917365,7358.841586,7622.048854,7015.469613,6806.221808,6959.530381,9985.522802,9559.717766,9039.577515,9473.001046,SPTAN1
8168.833717,10735.21037,5655.96429,8045,7794.721851,8190.21773,8159.314925,6277.896412,5381.645007,5549.970368,5477.627364,10280.16643,10577.51021,10278.7403,10704.8685,SPTBN1
5532.034003,6885.373471,8977.656378,5916.6,5674.749031,5949.919565,5735.913675,10018.73435,8641.961029,9867.241123,9311.237353,7551.436334,6987.129659,7422.675987,7140.232503,MYH10
8010.114765,11412.25656,9588.254317,7678.7,7295.714015,7703.486085,7679.351728,9746.294486,9158.543544,9598.165334,9478.645648,12330.77931,11213.34205,12423.87708,11012.69545,HSPA9
8523.915743,13731.34606,16272.99999,11312.1,8474.966041,11488.19942,8974.52163,17835.2213,16089.52869,18062.61031,16986.64795,16231.85451,13928.64988,15959.9567,14201.82921,PGK1
9422.949448,3457.404123,8431.704206,9314.3,9738.009488,8571.607454,9199.027252,7582.104096,8615.072665,7584.920164,8071.606901,3668.078587,3661.863151,3337.503386,3472.754321,MAP4
4356.805721,2697.05983,4875.794019,7646.8,4886.710669,8152.17204,5094.655755,6859.02091,5267.980558,8010.49503,5379.04026,4270.633711,2843.937238,4826.798423,3018.383097,FASN
6934.897124,9002.776811,14847.10889,6218.6,6406.552376,5909.741717,6381.389616,13261.88627,14212.48661,12699.3613,13929.79847,7985.79703,8512.222731,7627.509542,8633.239817,HSPD1
22355.47583,24864.96887,16163.11201,18817.6,20728.33912,19486.1898,21568.40182,13592.99736,15053.25724,14175.58374,15789.11929,20238.10179,22711.48532,21318.89452,23247.69706,HNRNPM
21768.56973,27387.36691,46209.73765,16381.7,21020.48688,16190.27364,20402.9806,30250.41462,43932.32809,30039.71554,42868.40978,20845.51101,26175.44575,20334.35642,25365.21994,NCL
9206.289229,9769.517954,6996.676241,10756.6,9602.783601,11111.47379,9775.767283,7637.830432,7433.257759,8355.921844,7500.560827,10892.02524,10019.78882,11553.6821,10403.75778,KHSRP
13556.54558,12520.71923,13673.41488,17501.5,13579.07305,19661.49315,14074.82122,17564.14061,13798.72153,19868.50703,16915.52939,18137.89623,12869.71567,19608.61456,14480.879,EEF2
9101.204302,11502.32234,12561.95961,10115.8,9158.514506,8986.711924,8341.462116,13674.5481,12497.28396,12752.77623,11620.94242,11937.59753,11626.87086,10971.91202,11590.01088,ANXA1
4395.452901,5201.611591,7157.946799,5622.3,4811.211108,5981.502152,4885.83404,9369.952945,7360.180481,10170.90064,7727.351121,7031.72445,5439.305514,7312.504415,5461.549575,EPRS1
11286.74657,11322.23714,14069.44389,10692.5,11324.87186,10690.306,11253.50024,13221.33744,13858.45648,13217.14234,14409.19949,10485.33289,10841.20049,10198.41132,10586.35513,HSP90B1
9373.15064,7249.483965,8118.545568,10029.8,9263.939575,9531.478238,8672.547014,8904.509675,7840.759068,7820.438446,7979.412476,7871.806674,7055.813834,7199.498331,7053.807757,ACTN4
7367.745536,5907.397253,4227.125814,6034.5,6933.178962,6291.531221,7198.319175,4373.988785,4208.996588,4234.76239,4466.48526,4754.020776,5502.294646,4824.819614,5675.349379,TPR
5058.591301,6412.79467,7275.203218,4662.3,4813.019107,4781.163948,4590.572611,7431.537275,7149.300336,7497.588548,7441.57837,6779.715963,6336.274687,6456.428512,6706.009952,HSPA1A
8611.299672,7333.152894,2650.181723,10823.9,8681.015628,10561.37708,8728.807089,3150.123677,2541.867076,3074.719399,2664.199126,8961.955747,7540.579769,8931.010383,7508.132341,VCP
4298.864453,3492.818562,4821.021959,6425.4,4398.924898,6477.295468,4797.612064,7127.458747,5182.986846,7778.106729,5760.103889,4663.330082,3570.987949,4849.634958,3921.901815,DYNC1H1
7488.112325,8583.644146,9419.664443,9631.6,7994.599302,11331.48582,8079.528989,11780.98533,9875.973991,13645.33408,10077.80952,11413.35516,9021.388976,13203.10029,9304.255912,PYGB
9862.406233,9418.942822,8816.336697,10886.1,9749.730311,10286.19546,9956.963934,8765.873425,9001.949377,9009.574873,9044.892355,8480.672123,9206.968805,8758.105192,9503.270695,P4HB
11246.6243,19044.29991,20274.20948,12817.9,11715.2127,13963.43472,11125.53382,21423.90671,20061.67342,23791.65667,20293.01171,20149.99994,18758.38948,22382.26412,19170.5292,HNRNPU
4001.428678,3429.499029,2599.585112,4621.6,3931.712914,4373.188881,4046.80443,2916.193883,2597.222478,2828.579704,2612.508319,3908.76085,3478.24713,3611.327877,3432.736818,CSPG4
4309.544055,5199.201184,5213.21938,4836.3,4158.024564,4885.63968,4303.984858,5889.77532,4954.384824,6018.800552,5458.249554,4973.911328,5071.287948,5705.710861,5592.702508,NUMA1
14797.56257,15099.25194,21052.56221,12354.3,13255.75288,13343.30995,16455.38876,19333.48953,19648.82499,20330.66676,22763.83228,14613.82249,14412.04115,15268.54986,15398.38985,GAPDH
617.1158049,1783.886472,1201.497586,324.6,476.0026021,443.4221898,581.9679996,608.6101164,1013.762629,889.1713109,1237.482912,1102.365215,1355.56737,1332.701657,1713.29014,HNRNPU
5741.672827,8919.66413,14116.45453,5910.9,5851.434214,6098.837461,6005.866982,14544.49811,14593.55788,15429.78273,14891.44725,9679.229341,9357.740143,10244.24483,9353.321661,HSPA4
5073.165123,3940.134446,4398.073588,6380.3,5182.599124,6847.158214,5310.250066,5581.015176,4520.3007,5740.950552,4623.705222,5286.434212,3996.888747,5181.754116,4283.691754,ATP1A1
1894.773864,1845.815386,1383.448895,2506,1979.38528,2728.095889,2212.737864,1532.021173,1479.522061,1607.425106,1428.863755,2125.123254,1867.04109,2757.177303,1873.919835,HUWE1
9841.165035,9265.78928,7148.809935,10281.7,9771.987408,10372.48123,9903.436661,7707.903656,7408.355467,8022.604467,7908.593573,9386.446447,9324.159031,9612.148804,9612.54926,ANXA2
4568.214644,8934.960942,7239.146992,6519.8,4533.402647,5874.094704,4349.07609,7790.43602,7425.975493,8159.246119,7188.518159,10684.59354,8918.239976,10425.2257,8787.759614,PARP1
3766.595434,6329.542926,7041.378102,5424.9,4034.581846,5743.566669,4102.113965,9593.764407,7247.279906,9835.376885,7523.38469,8999.00868,6754.713016,9055.354512,6895.603365,AARS1
5198.960218,7604.787203,11785.42444,5806,5254.66972,5203.66434,5446.533711,10626.66488,11177.20786,10505.19293,10838.58833,7946.559753,7619.279363,7428.184566,7989.22854,PDIA4
7726.485769,10573.48134,10669.25337,10529,8136.309049,10432.24827,8073.409889,11494.80266,10887.75055,12320.78747,11848.73157,12309.66399,10770.69979,12500.72977,10794.41816,ALDOA
1472.723061,1396.969821,2698.666049,1968.2,1504.068471,1805.804386,1456.939896,3831.525376,2724.178334,3423.276195,2629.638702,2061.130087,1499.710857,1894.416232,1441.469621,TUBB
9993.747641,5613.976575,5652.722177,9904.6,9687.510194,9961.441182,9457.63349,5041.194615,5363.159256,5450.837182,5384.184369,5852.502714,5471.953817,5689.185125,5478.013652,NONO
3418.239786,5324.403277,7128.325676,4032,3562.694001,4002.659836,3545.394679,9004.635856,7815.041977,8922.294568,7913.388083,6603.916784,5398.556504,6273.468828,5694.098838,TUBA1B
11364.27694,8963.932178,7116.978281,11035.9,11081.66477,9758.752932,11843.07256,6870.347401,6826.130715,6318.303867,6423.444273,9179.014742,8973.422973,8574.075881,9367.82684,YWHAZ
9901.17142,3349.770187,15092.96913,7588.5,9889.1333,7832.748151,9448.959814,10195.88067,14997.18889,10152.326,14266.11334,2846.441928,3475.988751,2755.89375,3276.537965,TCOF1
6348.050026,7148.803125,5723.655679,7149.7,6482.73773,7145.993454,6355.665632,6762.821247,5678.282738,6671.170801,6056.864058,8651.212697,7244.732136,8173.126232,7415.177932,CCT8
252.6522494,1619.932453,4125.24487,301.2,223.0697198,260.8561793,223.317447,3343.127084,4746.050925,3471.406075,4499.697228,1768.994406,2016.339571,1720.067044,1801.580504,NPM1
2230.561802,4404.276823,5314.36348,3637.8,2447.096023,4026.646611,2564.14055,7719.305657,5681.491009,8813.976682,6187.514445,6642.425946,4713.383992,7447.544813,4962.263601,CLTC
4198.971819,8328.69727,8006.004951,5537.9,4409.523516,5218.589444,4270.597147,10485.91435,8155.67885,9838.763423,8143.724316,11245.80794,8889.617478,10513.36296,8788.552502,TUBB4B
5962.935306,5512.275948,4697.330438,7965.1,6164.218111,7614.135348,6153.497696,5348.59558,4903.256192,5596.201734,4803.649161,6582.882367,5766.083117,6689.928068,5485.755966,HSPH1
10345.76149,6909.106707,8656.09772,11055.8,10154.09873,10831.16167,11478.65936,9329.781657,8555.184945,9405.491881,8728.954148,7940.896641,6794.529218,7417.167408,6866.779569,TKT
6677.701618,5373.306723,7525.189775,6650.8,6538.037574,7186.171302,6816.023945,8048.075936,7554.306323,8326.777098,7763.110172,6066.244744,5414.757917,6196.616134,5520.643019,CCT4
5989.78182,2077.909752,5677.234516,8125.1,6144.891221,8160.700671,6264.651445,8092.32476,5863.496717,8105.01021,5881.864457,3112.041884,2162.839627,2975.167268,2080.956775,CCT3
15.57687853,102.7204142,0,19.6,14.33930563,14.65858479,16.27799427,0,0,0,0,101.1270012,108.5494714,93.05754174,102.2358574,TCOF1
7827.558469,6772.872367,7887.323967,6483.2,7389.54295,6215.772989,7421.220761,7107.675143,7524.158763,6433.446138,7472.942454,5520.482544,6279.56974,5136.294972,6056.075338,HYOU1
4722.095323,5468.146961,3690.605243,6384,5308.036875,6636.074593,5534.755687,5189.647157,3936.955599,5583.32263,4150.097568,7364.796341,5914.939742,8118.682222,5979.585007,UBA1
2582.575656,4493.461876,4380.585827,3733.2,2714.430556,3563.435332,2671.610958,5610.313032,4445.288275,5648.487819,4526.516516,6443.569811,4516.414078,6200.092421,4598.887887,CCT7
8683.283731,12440.71226,9000.154677,8151.2,8213.61661,7708.68322,7733.948359,8417.999132,8483.48264,8173.613248,8355.182168,11869.47838,11605.41626,11320.71736,11105.60321,MDH2
1927.225694,284.1035284,53.78960124,2806.1,1809.558026,2849.495623,1762.003767,68.18547582,48.88793511,60.54718373,48.6442956,434.1179907,254.5094799,432.5036437,255.0765986,ACTA1
13283.24217,18440.5857,7711.26741,8804.3,10696.74793,9135.03015,11901.94661,7272.513342,7474.557879,6998.895261,7558.594371,15091.38464,16336.81819,14490.55673,17177.11654,MSN
17005.34909,15814.3084,20298.72182,15184.5,17537.34485,14839.41842,17928.07198,17117.49932,21436.8503,17529.48722,22802.53796,15392.90491,16795.66186,15356.79408,17415.12274,NPM1
9431.209914,3521.511674,5474.897194,8435.5,9350.848236,8170.82842,8917.608059,5159.141141,5436.08376,4827.252501,5425.9865,3598.50321,3568.042237,3339.161308,3467.48395,KTN1
21093.57166,15486.21494,33839.50481,14947.1,21407.52344,14437.97309,20873.02254,20283.55559,32603.26208,20048.19876,30215.74881,10804.57061,15120.97574,10100.48697,14530.97084,H1-3
13614.42784,13205.18206,11371.31819,11136,13844.10083,10585.49711,12518.96577,9394.569186,11376.57897,8924.911438,10905.86129,10972.84594,13634.17692,10470.257,12498.79997,STIP1
8062.096697,8285.634425,4689.077787,7700.8,8092.730029,7314.700439,7670.083965,4066.738839,4528.550539,3834.073443,4537.304163,8512.951861,8535.984804,7937.059571,8313.985965,XP_024307077.1
5421.048744,6583.516369,8436.027023,6194.9,5405.544154,5709.718664,5388.372557,8999.35016,8683.617624,8818.851244,8699.987319,7324.750048,6732.963846,7004.986676,6828.301201,PDIA3
4294.73422,3693.067745,2030.152183,4634.3,4243.998053,4063.826113,4034.922682,2086.566172,1970.998584,1944.590821,1885.590739,2959.380563,3444.567827,3006.186449,3588.189424,EEA1
8560.91083,1945.522792,5344.328463,7716.1,8412.247165,7355.877736,8355.957848,4977.086676,5189.708937,4565.822076,4847.948433,2038.315836,1839.15502,1863.824902,1787.495089,VCL
12593.61127,12124.06824,21867.02028,6610.8,11858.04465,6708.434698,12981.40339,10700.5136,21802.33854,11707.67026,19205.60694,7543.265272,12034.85191,7578.146259,12279.21675,H1-4
5951.84268,4284.220021,4142.781754,4465.3,5362.837961,4469.202612,5604.560955,4016.826769,4121.35478,3657.61432,4036.078136,4204.456201,4315.90931,4039.178643,4353.512501,CKAP4
8372.808221,11913.38942,5224.763267,8056.9,8293.043894,10049.52595,8671.893518,6523.605757,5205.139191,6926.64913,5457.250698,13648.34278,12093.56977,14695.06939,12492.41023,EIF3A
4873.851882,5550.471626,2995.564999,6992.9,5362.089823,7716.212402,5243.65287,3723.772691,3108.1014,4155.486628,3131.064501,7478.543992,5826.273824,8124.244282,6015.45151,SND1
6194.40536,6123.916682,2946.540321,6571.2,6365.342459,6718.362558,5932.437781,3036.481217,2810.34332,2976.561126,2971.047742,6688.782563,6139.599345,6579.435607,6108.079436,CCT2
9125.041646,9436.510979,7324.571756,8722.4,8769.35822,8480.324449,9204.611674,7024.312169,7200.021568,7144.670302,7330.655392,8838.661707,9350.081292,8713.12738,9385.783412,ATP5F1A
15088.44898,13442.2363,20593.7541,13311.5,14353.4579,15200.88579,17709.329,19837.51838,19626.72357,21616.06295,21660.74547,14058.91841,13332.83062,15144.04529,15296.29392,EEF1A1
7060.751222,4959.133934,3875.55305,6878.9,7353.445306,6815.175847,7316.364338,3878.719088,3885.368643,3514.456148,4201.388832,4815.505993,5113.411623,4657.850852,4967.953736,XP_024306396.1
6119.353127,6752.615679,6406.857299,7950.5,6014.902298,7685.162854,5761.043571,7961.012975,6628.134577,8443.099526,6530.421769,8461.579345,6905.435258,8640.499713,6749.432207,DDX5
3543.326841,5779.367567,9777.033712,2481,3530.711115,2452.314605,3390.397281,3751.635859,9309.281344,3721.90722,10370.32455,3720.179218,5796.374851,3832.954574,5601.890676,H1-2
7811.214547,13960.93731,5762.413665,7410.2,8276.210796,6560.449622,7465.53968,5474.69718,6277.363643,5126.550571,6716.60856,12913.51354,14444.19851,11835.31487,13275.03691,TPM3
1993.781448,2554.799473,1794.116535,2671.8,1947.028325,2491.093225,1901.139032,1904.436197,1631.48206,1789.682391,1573.647957,3236.144939,2639.455759,3099.832285,2549.833177,ACTN1
2513.069735,1820.737884,1100.599101,2883.4,2534.067029,2802.055112,2565.863404,1492.151924,1045.794412,1348.714173,1083.409347,2018.414042,1856.583814,1934.09939,1844.11659,KIF5B
3407.501181,2688.808822,2793.375045,4209.7,3457.019553,4253.788045,3382.674145,3509.248952,2770.621873,3372.888623,2759.689776,3417.445427,2761.310028,3269.31467,2736.861365,TUFM
4143.213675,1743.141326,5966.273798,6132.1,4419.186961,7312.435021,4587.30513,7638.359001,6040.460857,8693.08756,6673.607802,2519.518558,1880.002221,2892.16422,1949.244156,DHX9
2968.457419,5480.987013,8145.464931,2816.3,2734.505584,2677.457141,2914.236245,7751.623911,7559.296966,7552.132325,7455.562356,5116.621752,5417.114486,5115.597691,5800.625616,XRCC6
3395.228489,4230.171283,6757.398481,4230.2,3451.844934,4063.026553,3304.967516,8238.587514,6857.398623,8418.880653,6933.310407,4475.395663,4020.405344,4717.856922,4198.059895,ILF3
0,62.57786969,577.2925971,0,0,0,0,799.0461851,581.8682777,728.5673405,560.2584271,90.77159626,67.99684213,84.71445179,70.19387108,TUBB2A
9240.098135,8160.664101,6673.594773,9791.7,8926.903548,10310.11561,9345.172748,6473.769196,6371.982167,7085.765076,6360.366506,8707.682015,7849.732198,9043.267728,8307.549583,GSN
4739.324295,13427.77386,4041.539409,3167.2,4163.386217,3344.755899,4378.839868,3354.831124,3978.357569,3229.987007,3946.580623,8751.692486,11602.37236,8830.144565,12513.58499,NASP
8372.218188,11425.46745,2681.571271,4867.9,7720.469186,5201.199032,7692.124607,2322.534735,2844.4121,2164.048707,2622.496881,10384.20589,12490.40621,10103.16104,11451.58204,EIF4B
6983.043839,6187.097153,4497.891368,6710.6,6763.227018,6472.698003,6922.543812,4494.200609,4414.122216,4408.758577,4523.070463,5983.967816,6031.884492,6104.360812,6036.672913,IMMT
15.22285856,174.0128317,10.11932224,19.7,14.65102967,16.05781334,10.5747554,13.2142395,11.1525602,10.72403508,8.889819934,196.7526935,165.0580384,180.9273929,144.9118654,TUBA1C
5131.342404,4446.08811,6092.126728,6491.3,5146.065067,6085.378215,5435.543095,7760.836124,6173.120306,7432.115492,6288.448862,5906.140476,4481.114634,5526.06702,4498.75085,LDHB
14860.63713,9805.117809,5901.677153,16312.5,15141.62095,15601.73146,15754.24684,5595.588594,5572.307954,5369.406351,6868.484641,10002.59304,9871.128574,9601.612979,10032.49983,HNRNPA2B1
1943.805629,1016.032834,996.2128888,2103.3,1884.745863,2180.997527,2029.224271,1115.885893,966.7079919,1083.486722,1015.686899,1135.453969,1018.823443,1132.414016,1007.666834,MACF1
4192.481453,1288.269744,4387.806897,5331.2,4077.724452,5155.824049,4170.374606,5388.313809,4522.541397,5362.171476,4766.142112,1801.597751,1306.521273,1653.001437,1318.245563,IQGAP1
7647.59832,8159.59796,6430.534548,6340.1,7190.413636,6230.165054,6736.950914,6218.696619,6205.253939,5627.193682,6049.822122,7383.241906,7826.657458,6887.434678,7228.149744,LMNB1
5482.943234,7157.610381,3017.915929,6008.9,5219.320215,6720.161566,5290.348138,3707.009485,3038.334242,3832.841975,3129.815931,7734.031247,6955.56145,8916.142569,6978.623358,ATP2A2
3820.524475,8624.203877,4063.546479,3712.9,3717.059743,3364.145209,3829.427857,3302.653756,3784.639127,3184.268752,3724.734667,6009.532722,8005.020293,6521.461829,8180.267806,SF3B2
4537.119891,9527.781961,7696.48141,5021.2,4747.30768,5040.421009,4770.640497,7083.511962,7770.737286,7442.685593,7856.053739,9778.010195,9769.403335,9883.620115,10022.8919,PA2G4
3141.927203,2295.495322,4551.18974,3037.4,3063.997889,3611.208992,3367.762552,5417.687175,4414.937015,5536.116351,4678.941968,2947.568929,2282.582802,2931.205602,2430.806759,EFTUD2
7621.636855,4095.003085,5610.181725,8145,8017.292812,8205.409354,8292.212272,6067.148169,5662.852484,6013.053701,5700.971604,4326.860323,4304.028274,4449.915379,4362.001062,TPI1
2207.727514,2460.793606,5177.359646,3919.2,2441.796714,4375.920709,2376.527755,7226.452278,5346.506804,7113.47311,5393.074189,3240.432724,2531.39724,3240.434744,2559.161267,PDCD6IP
7752.91926,4523.870085,6333.61502,8450,8804.146622,8436.082175,7811.001492,6616.180943,6711.906091,6657.008918,6665.467124,5109.745116,5027.887797,5347.064956,5352.784055,TAGLN2
10271.53531,7943.77384,5936.014077,7578.3,9221.545106,7754.791132,10971.18991,5669.814865,5398.144685,5133.06709,5407.907203,5972.156182,7417.49812,6220.896665,7697.958955,HNRNPC
5527.19573,5119.611404,19528.62175,4452.1,6394.582173,4950.470602,5673.653317,9936.730555,18290.5552,10224.31557,18127.19187,3621.641068,4813.538185,3414.035192,4643.242951,H1-5
4167.464042,11366.27342,7478.179138,4367.6,4128.784849,3718.616441,3812.377549,6412.606145,7629.216899,6170.476379,7167.142637,11037.89083,12013.88827,10414.31551,11104.11072,PRKCSH
1125.37047,4281.29972,3257.291935,964.8,919.2118357,1046.156544,1133.637543,3473.83479,3148.841345,3454.627321,3051.905149,4263.51437,4066.112969,4384.240287,4222.546129,HNRNPUL2
3431.161515,2962.853537,2569.521883,4216.4,3518.927946,4748.581912,3519.373652,3144.233902,2458.553887,3111.406887,2467.324574,3824.137775,3073.162693,4162.23922,3234.468283,GLUD1
2686.008489,3693.438577,3637.896346,3524,2947.350755,3914.974847,3190.605695,4677.236704,3791.921392,5007.559962,4015.601584,4932.651511,3950.297409,5115.062877,4118.677856,LRPPRC
4840.987028,4451.604234,4676.207581,5739.6,5290.580329,5916.871119,5224.226213,5299.816159,4400.474334,5040.399112,4594.638507,5702.025736,4459.905511,5335.192097,4507.845737,CCT6A
1644.245734,6936.64097,4507.765076,1540.1,1453.444488,1340.660839,1448.800899,3484.481691,4264.606615,3475.716213,4269.910366,5988.093797,6509.433433,5793.366786,6518.142236,RDX
3999.068545,5564.331465,2391.058302,4300.2,3975.977727,4255.853573,3808.040711,2758.831168,2271.048286,2509.42421,2230.74549,5860.511973,5365.81001,5766.144781,5358.707391,DPYSL2
8572.180465,7513.191743,1501.687772,7264.2,8460.439701,7360.075422,7819.853394,1222.203889,1308.210589,1252.76228,1436.904547,7397.561489,7276.447631,7188.802062,7363.920082,SFPQ
1695.0476,3075.771826,3371.158872,1785.8,1617.037261,1968.448047,1591.678914,3995.986025,3338.791343,4314.961753,3573.757556,3117.624094,3109.542231,3653.738584,3266.930033,HDLBP
7148.371163,6340.297049,18977.46255,3991.8,5710.784329,3825.29096,5843.02763,18304.51558,20524.53013,17101.03893,19338.05527,5592.56587,6077.24845,5208.54827,5611.591889,HMGB1
5411.195188,8063.042625,3736.09307,4934.9,5047.248547,4803.751495,4713.48929,4257.023888,3572.638633,3897.647986,3356.156739,8089.836488,7742.213726,7749.500491,7738.069739,PABPC1
3643.691502,3859.061339,3132.077603,4090.2,3663.630244,4282.905325,4327.867171,3788.63573,3292.449655,3777.220664,3231.899031,4548.449808,4100.774175,4765.88317,4095.03115,TCP1
5772.23655,11785.86962,13752.06068,5771.8,6147.197979,5545.875664,6048.760091,13141.59894,14063.93858,12411.35169,13039.9175,12190.90044,12534.98464,11464.95655,11994.8966,HNRNPK
2074.32099,4341.235413,3010.989597,2663.1,2177.267698,3256.73776,2286.582925,4589.796193,3229.302739,4842.132741,3272.552478,6052.329668,4512.928319,6443.967358,4563.114665,CAND1
1650.38208,1087.927853,1019.25154,2219.4,1774.831968,2315.856507,1800.025359,1613.269868,1012.998755,1565.709122,979.3285342,1369.825907,1172.835063,1504.91159,1179.86336,DDX17
3365.195795,924.0201884,3728.086034,4117.6,3472.169341,3894.186309,3229.45901,4473.133336,3810.661767,4275.349528,3938.190231,1143.948637,979.4490978,1068.18292,991.7158012,DDX46
531.2659631,2006.849104,47.0106378,643.3,570.080916,598.6699287,554.9964324,95.52007411,37.53167518,87.79341641,50.44223671,1846.174534,1972.595754,1999.934927,1819.070671,TUBB3
738.9576767,3383.005989,3746.556253,709.8,628.6850347,665.4331194,573.0566889,3803.813228,3550.078888,3590.499306,3409.245945,3740.00011,3376.963747,3414.73045,3280.409122,DDX21
7897.831433,7196.918554,10981.82253,8298.4,8949.098299,8301.689604,9018.127644,11738.02017,11172.26815,11283.27556,10639.76601,7826.339974,7542.396291,7377.10988,7619.043321,sp
7897.831433,7196.918554,10981.82253,8298.4,8949.098299,8301.689604,9018.127644,11738.02017,11172.26815,11283.27556,10639.76601,7826.339974,7542.396291,7377.10988,7619.043321,sp
7897.831433,7196.918554,10981.82253,8298.4,8949.098299,8301.689604,9018.127644,11738.02017,11172.26815,11283.27556,10639.76601,7826.339974,7542.396291,7377.10988,7619.043321,sp
7897.831433,7196.918554,10981.82253,8298.4,8949.098299,8301.689604,9018.127644,11738.02017,11172.26815,11283.27556,10639.76601,7826.339974,7542.396291,7377.10988,7619.043321,sp
7897.831433,7196.918554,10981.82253,8298.4,8949.098299,8301.689604,9018.127644,11738.02017,11172.26815,11283.27556,10639.76601,7826.339974,7542.396291,7377.10988,7619.043321,sp
